ajbh,zjqkje,zjshje,zjzxqke,zjyhlx,ywy0,PromisedJe,hsl,age,gender
150706C-01695,0.00524805450937,0.0,0.00524805450937,0.0,cz73,0.0,0.0,0.203703703704,0.5
150706D-01368,0.00566832336079,0.0,0.00566832336079,0.0,wh18,0.0,0.0,0.518518518519,0.5
150706C-01702,0.00357052057567,0.0,0.00357052057567,0.0,cz73,0.0,0.0,0.203703703704,0.5
150706D-01408,0.00482092747288,0.0,0.00482092747288,0.0,wh18,0.0,0.0,0.333333333333,0.5
150706C-01751,0.0137075012502,0.102169190601,0.00182236981177,0.0,cz73,0.0,0.867053098992,0.240740740741,0.5
150706C-01754,0.00644103245924,0.0,0.00644103245924,0.0,cz73,0.0,0.0,0.203703703704,0.5
150706C-01783,0.0102180396837,0.0,0.0102180396837,0.0,cz73,0.0,0.0,0.277777777778,0.5
150706C-01794,0.0119452453439,0.0,0.0119452453439,0.0,cz73,0.0,0.0,0.333333333333,0.5
150706C-01835,0.00241279333252,0.0,0.00241279333252,0.0,cz73,0.0,0.0,0.111111111111,0.5
150706C-01894,0.0791400538157,0.0,0.0791400538157,0.0,cz73,0.0,0.0,0.203703703704,0.5
150706C-01934,0.0171885920646,0.0,0.0171885920646,0.0,cz73,0.0,0.0,0.37037037037,0.0
150706C-01984,0.0205234437762,0.0,0.0205234437762,0.0,cz73,0.0,0.0,0.185185185185,0.5
150706C-02035,0.0389805813922,0.0,0.0389805813922,0.0,cz73,0.0,0.0,0.462962962963,0.0
150706C-02132,0.0203396213333,0.0,0.0203396213333,0.0,cz73,0.0,0.0,0.722222222222,0.5
150706C-02193,0.0119437995972,0.0,0.0119437995972,0.0,cz73,0.0,0.0,0.333333333333,0.5
150706C-02223,0.00358745033048,0.0,0.00358745039122,0.0,cz73,0.0,0.0,0.148148148148,0.5
150706C-02232,0.0232973457615,0.0,0.0232973457615,0.0,cz73,0.0,0.0,0.407407407407,0.5
150706C-02248,0.000838235442319,0.0,0.000838235442319,0.0,zz21,0.0,0.0,0.259259259259,0.0
150706C-02849,0.00365168886634,0.0,0.00365168892709,0.0,zz19,0.0,0.0,0.0740740740741,0.5
150706C-02983,0.00600750890472,0.0,0.00600750890472,0.0,zz19,0.0,0.0,0.240740740741,0.5
150706C-03150,0.00628192135098,0.0,0.00628192135098,0.0,zz19,0.0,0.0,0.222222222222,0.5
150706C-03246,0.00542198755877,0.0,0.00542198755877,0.0,zz19,0.0,0.0,0.259259259259,0.5
150908B-04571,0.00639959784429,0.0,0.00639959784429,0.0,zz14,0.0,0.0,0.351851851852,0.5
150605F-01749,0.00588469940311,0.0,0.00588469940311,0.0,fz04,0.0,0.0,0.166666666667,0.5
150908B-04620,0.0186491789468,0.135770234987,0.00285530724478,0.0,zz21,0.0,0.846893675431,0.222222222222,0.5
150908B-04645,0.0159839934699,0.0,0.0159839934699,0.0,zz21,0.0,0.0,0.592592592593,0.5
151008D-00060,0.0850533279774,0.0,0.0850533279774,0.0,cq29,0.0,0.0,0.703703703704,0.5
151008D-14502,0.00950795936113,0.0,0.00950795936113,0.0,cd59,0.0,0.0,0.314814814815,0.5
151008D-14507,0.00402088890182,0.0,0.00402088890182,0.0,cd59,0.0,0.0,0.444444444444,0.5
151008D-14544,0.00574493578768,0.0,0.00574493578768,0.0,cd53,0.0,0.0,0.407407407407,0.5
151008D-14790,0.00725055950246,0.0,0.00725055950246,0.0,cd47,0.0,0.0,0.185185185185,0.5
151008D-14791,0.00170880579967,0.0,0.00170880579967,0.0,cd47,0.0,0.0,0.166666666667,0.5
151008D-14811,0.0055633791579,0.0,0.0055633791579,0.0,cd47,0.0,0.0,0.148148148148,0.5
151008D-14817,0.00310187388031,0.0,0.00310187388031,0.0,cd47,0.0,0.0,0.425925925926,0.5
151008D-14846,0.0037506010859,0.0,0.0037506010859,0.0,cd47,0.0,0.0,0.462962962963,0.5
151008D-14866,0.00462645024114,0.0,0.00462645024114,0.0,cd47,0.0,0.0,0.425925925926,0.5
151008D-14868,0.00122829547683,0.0,0.00122829547683,0.0,cd47,0.0,0.0,0.296296296296,0.5
151008D-14925,0.00409417854108,0.0,0.00409417854108,0.0,cd47,0.0,0.0,0.166666666667,0.5
151008D-14951,0.00552691961253,0.0,0.00552691961253,0.0,cd47,0.0,0.0,0.296296296296,0.5
151008D-14959,0.00208829608927,0.0,0.00208829608927,0.0,cd47,0.0,0.0,0.222222222222,0.0
151008D-15006,0.00577295168625,0.0,0.00577295168625,0.0,cd17,0.0,0.0,0.240740740741,0.5
151008D-15036,0.0103238646987,0.0,0.0103238646987,0.0,cd17,0.0,0.0,0.555555555556,0.5
151008D-15329,0.00636518542768,0.0,0.00636518542768,0.0,cd47,0.0,0.0,0.148148148148,0.5
151008D-15335,0.0130020801197,0.00208877284595,0.0127590974782,0.0,cd47,0.0,0.0186879821791,0.277777777778,0.0
160105F-12806,0.0163414877559,0.0,0.0163414877559,0.0,cd17,0.0,0.0,0.277777777778,0.0
151008D-15403,0.000110842606518,0.0,0.000110842606518,0.0,cq06,0.0,0.0,0.703703703704,0.5
160105F-12814,0.00821356653123,0.0,0.00821356653123,0.0,cd17,0.0,0.0,0.259259259259,0.0
160105F-13551,0.00371636483171,0.0,0.00371636483171,0.0,cd17,0.0,0.0,0.407407407407,0.5
151008D-15551,0.0120374268836,0.0,0.0120374268836,0.0,cd38,0.0,0.0,0.388888888889,0.5
151008D-15578,0.00793115995606,0.0,0.00793115995606,0.0,cd47,0.0,0.0,0.462962962963,0.5
151008D-15613,0.0029702805562,0.0,0.0029702805562,0.0,cd52,0.0,0.0,0.425925925926,0.5
151008D-15690,0.00542736962428,0.0,0.00542736962428,0.0,cd59,0.0,0.0,0.222222222222,0.5
151008D-15700,0.00193748283821,0.0,0.00193748283821,0.0,cd59,0.0,0.0,0.425925925926,0.5
151008D-15702,0.0169681035411,0.0,0.0169681035411,0.0,cd59,0.0,0.0,0.407407407407,0.5
151008D-15759,0.0043296044225,0.0,0.0043296044225,0.0,cd53,0.0,0.0,0.555555555556,0.5
151008D-15813,0.00550981363456,0.0,0.00550981363456,0.0,cd59,0.0,0.0,0.259259259259,0.0
150706C-02163,0.0261686716369,0.0,0.0261686716369,0.0,cz73,0.0,0.0,0.259259259259,0.5
150706C-02296,0.00236052776632,0.0,0.00236052776632,0.0,zz21,0.0,0.0,0.407407407407,0.5
150706C-02299,0.00749279497241,0.0,0.00749279497241,0.0,zz19,0.0,0.0,0.296296296296,0.0
160105F-02304,0.00592093418953,0.0,0.00592093418953,0.0,yc15,0.0,0.0,0.351851851852,0.5
151008D-09152,0.00537755210819,0.0,0.00537755210819,0.0,zz14,0.0,0.0,0.351851851852,0.5
